Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Barwick,Thomas,630,112,204,42,0,358,35,41,18,0,94,2,4,2,0,8,460,
Boston,Thomas,1632,144,352,77,0,573,115,241,148,0,504,5,9,4,0,18,1095,
Central,Thomas,3523,180,1248,234,1,1663,78,475,227,0,780,12,26,9,0,47,2490,
Coolidge,Thomas,983,193,261,54,0,508,49,53,42,0,144,11,10,1,0,22,674,
Douglass,Thomas,2448,46,170,41,0,257,211,666,242,0,1119,19,18,8,0,45,1421,
LIttle Ochlocknee Baptist Church1132,Thomas,199,429,74,0,702,17,115,34,0,166,8,11,1,0,20,888,,
Fire Station #2,Thomas,1404,135,550,130,0,815,14,157,85,0,256,1,11,4,0,16,1087,
Gatlin Creek,Thomas,2069,204,788,137,0,1129,42,214,107,0,363,10,18,8,0,36,1528,
Harper,Thomas,2001,40,219,47,0,306,138,505,277,0,920,9,14,5,0,28,1254,
Jerger,Thomas,1898,92,650,168,0,910,62,277,141,0,480,9,24,4,0,37,1427,
Meigs,Thomas,864,126,156,47,0,329,131,58,31,1,221,6,1,1,0,8,558,
Metcalfe,Thomas,299,75,66,14,0,155,14,23,23,0,60,3,1,2,0,6,221,
New Covenant,Thomas,2155,218,787,119,0,1124,42,223,119,0,384,7,18,7,0,32,1540,
Ochlocknee,Thomas,1175,254,349,48,0,651,49,68,20,1,138,14,4,1,0,19,808,
Pavo,Thomas,673,177,172,37,0,386,18,30,39,0,87,5,4,1,0,10,483,
Remington Esc,Thomas,2190,131,639,172,0,942,71,352,153,0,576,18,16,7,0,41,1559,
Resource Center,Thomas,1363,7,51,16,0,74,132,395,227,0,754,4,7,1,0,12,840,
Scott,Thomas,2491,121,864,156,0,1141,67,409,197,2,675,11,33,7,0,51,1867,
Merrillville,Thomas,701,62,257,35,0,354,13,69,45,0,127,0,1,1,0,2,483,
Patten,Thomas,397,76,143,19,0,238,15,28,10,0,53,1,5,0,0,6,297,
