Precinct,County,Registered Voters,Wiley E. Grady (I) (Rep)_Election Day Votes,Wiley E. Grady (I) (Rep)_Advanced Voting Votes,Wiley E. Grady (I) (Rep)_Absentee by Mail Votes,Wiley E. Grady (I) (Rep)_Provisional Votes,Wiley E. Grady (I) (Rep)_Choice Total,Total,
Central,Thomas,3523,0,2,6,0,8,8,
Jerger,Thomas,1898,2,22,13,0,37,37,
New Covenant,Thomas,2155,17,29,7,0,53,53,
Remington Esc,Thomas,2190,163,635,187,0,985,985,
Scott,Thomas,2491,128,919,199,0,1246,1246,
