Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Barwick,Thomas,630,109,173,49,0,331,44,65,13,0,122,453,
Boston,Thomas,1632,194,458,177,0,829,58,117,39,0,214,1043,
Central,Thomas,3523,215,1302,360,1,1878,58,397,91,0,546,2424,
Coolidge,Thomas,983,179,268,67,0,514,77,62,23,0,162,676,
Douglass,Thomas,2448,210,620,198,0,1028,68,205,77,0,350,1378,
LIttle Ochlocknee Baptist Church1132,Thomas,174,412,79,0,665,45,115,25,0,185,850,,
Fire Station #2,Thomas,1404,121,567,193,0,881,26,124,23,0,173,1054,
Gatlin Creek,Thomas,2069,198,779,214,0,1191,59,214,32,0,305,1496,
Harper,Thomas,2001,139,525,235,0,899,39,178,68,0,285,1184,
Jerger,Thomas,1898,126,737,256,0,1119,32,189,51,0,272,1391,
Meigs,Thomas,864,188,167,67,1,423,69,46,10,0,125,548,
Metcalfe,Thomas,299,71,65,27,0,163,18,19,9,0,46,209,
New Covenant,Thomas,2155,210,781,202,0,1193,58,219,39,0,316,1509,
Ochlocknee,Thomas,1175,236,334,54,0,624,63,82,11,1,157,781,
Pavo,Thomas,673,153,157,62,0,372,34,44,12,0,90,462,
Remington Esc,Thomas,2190,181,804,277,0,1262,39,167,38,0,244,1506,
Resource Center,Thomas,1363,99,301,178,0,578,45,124,58,0,227,805,
Scott,Thomas,2491,142,1048,283,1,1474,49,238,56,0,343,1817,
Merrillville,Thomas,701,57,236,63,0,356,11,82,11,0,104,460,
Patten,Thomas,397,77,140,22,0,239,10,27,7,0,44,283,
