Precinct,County,Registered Voters,Mark NeSmith (I) (Rep)_Election Day Votes,Mark NeSmith (I) (Rep)_Advanced Voting Votes,Mark NeSmith (I) (Rep)_Absentee by Mail Votes,Mark NeSmith (I) (Rep)_Provisional Votes,Mark NeSmith (I) (Rep)_Choice Total,Total,
Barwick,Thomas,630,138,229,53,0,420,420,
Boston,Thomas,1632,50,75,26,0,151,151,
Central,Thomas,3523,30,188,26,1,245,245,
Coolidge,Thomas,983,15,20,4,0,39,39,
Gatlin Creek,Thomas,2069,41,207,40,0,288,288,
Pavo,Thomas,673,186,187,55,0,428,428,
Patten,Thomas,397,47,86,12,0,145,145,
