Precinct,County,Registered Voters,Vann Irvin (I) (Dem)_Election Day Votes,Vann Irvin (I) (Dem)_Advanced Voting Votes,Vann Irvin (I) (Dem)_Absentee by Mail Votes,Vann Irvin (I) (Dem)_Provisional Votes,Vann Irvin (I) (Dem)_Choice Total,Total,
Anna,Baker,166,52,20,15,1,88,88,
Elmodel,Baker,401,66,107,70,1,244,244,
Hoggards Mill,Baker,351,70,77,48,0,195,195,
Milford,Baker,270,66,56,35,0,157,157,
Newton,Baker,1070,104,329,142,0,575,575,
