Precinct,County,Registered Voters,Winfred Dukes (I) (Dem)_Election Day Votes,Winfred Dukes (I) (Dem)_Advanced Voting Votes,Winfred Dukes (I) (Dem)_Absentee by Mail Votes,Winfred Dukes (I) (Dem)_Provisional Votes,Winfred Dukes (I) (Dem)_Choice Total,Total,
Anna,Baker,166,37,13,14,1,65,65,
Elmodel,Baker,401,57,98,65,1,221,221,
Hoggards Mill,Baker,351,61,69,52,0,182,182,
Milford,Baker,270,58,43,28,0,129,129,
Newton,Baker,1070,93,279,137,0,509,509,
