Precinct,County,Registered Voters,Angela Hendricks (I) (Dem)_Election Day Votes,Angela Hendricks (I) (Dem)_Advanced Voting Votes,Angela Hendricks (I) (Dem)_Absentee by Mail Votes,Angela Hendricks (I) (Dem)_Provisional Votes,Angela Hendricks (I) (Dem)_Choice Total,Total,
Anna,Baker,166,47,15,15,1,78,78,
Elmodel,Baker,401,65,111,72,1,249,249,
Hoggards Mill,Baker,351,70,75,52,0,197,197,
Milford,Baker,270,71,57,38,0,166,166,
Newton,Baker,1070,102,343,148,0,593,593,
