Precinct,County,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
Anna,Baker,166,51,22,11,1,85,85,
Elmodel,Baker,401,57,96,54,1,208,208,
Hoggards Mill,Baker,351,59,65,34,0,158,158,
Milford,Baker,270,65,56,30,0,151,151,
Newton,Baker,1070,92,312,121,0,525,525,
