Precinct,County,Registered Voters,Connie Collins Hobbs (I) (Dem)_Election Day Votes,Connie Collins Hobbs (I) (Dem)_Advanced Voting Votes,Connie Collins Hobbs (I) (Dem)_Absentee by Mail Votes,Connie Collins Hobbs (I) (Dem)_Provisional Votes,Connie Collins Hobbs (I) (Dem)_Choice Total,Total,
Anna,Baker,166,49,20,15,1,85,85,
Elmodel,Baker,401,62,107,69,1,239,239,
Hoggards Mill,Baker,351,63,71,49,0,183,183,
Milford,Baker,270,66,56,33,0,155,155,
Newton,Baker,1070,93,313,143,0,549,549,
