Precinct,County,Registered Voters,Bonnie Hudson Kelly (I) (Dem)_Election Day Votes,Bonnie Hudson Kelly (I) (Dem)_Advanced Voting Votes,Bonnie Hudson Kelly (I) (Dem)_Absentee by Mail Votes,Bonnie Hudson Kelly (I) (Dem)_Provisional Votes,Bonnie Hudson Kelly (I) (Dem)_Choice Total,Total,
Anna,Baker,166,46,17,14,1,78,78,
Elmodel,Baker,401,63,103,68,1,235,235,
Hoggards Mill,Baker,351,64,66,51,0,181,181,
Milford,Baker,270,62,48,34,0,144,144,
Newton,Baker,1070,91,291,136,0,518,518,
