Precinct,County,Registered Voters,Mona Smith (I) (Dem)_Election Day Votes,Mona Smith (I) (Dem)_Advanced Voting Votes,Mona Smith (I) (Dem)_Absentee by Mail Votes,Mona Smith (I) (Dem)_Provisional Votes,Mona Smith (I) (Dem)_Choice Total,Total,
Anna,Baker,166,50,18,15,1,84,84,
Elmodel,Baker,401,66,108,72,1,247,247,
Hoggards Mill,Baker,351,73,79,53,0,205,205,
Milford,Baker,270,74,56,36,0,166,166,
Newton,Baker,1070,97,331,145,0,573,573,
