Precinct,County,Registered Voters,Darla Jean Eden (I) (Rep)_Election Day Votes,Darla Jean Eden (I) (Rep)_Advanced Voting Votes,Darla Jean Eden (I) (Rep)_Absentee by Mail Votes,Darla Jean Eden (I) (Rep)_Provisional Votes,Darla Jean Eden (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,464,1921,1188,2,3575,3575,
Chicopee,Hall,0,359,1069,355,1,1784,1784,
Oakwood I,Hall,0,326,763,254,0,1343,1343,
Oakwood II,Hall,0,458,1642,565,1,2666,2666,
Flowery Branch I,Hall,0,489,1725,598,0,2812,2812,
Flowery Branch II,Hall,0,467,1261,370,4,2102,2102,
Roberts,Hall,0,577,2184,909,1,3671,3671,
Morgan I,Hall,0,517,1755,441,0,2713,2713,
Morgan II,Hall,0,462,1875,597,2,2936,2936,
Candler,Hall,0,658,2072,663,0,3393,3393,
Tadmore,Hall,0,668,1518,564,5,2755,2755,
Glade,Hall,0,417,1355,420,3,2195,2195,
Lula,Hall,0,595,1295,337,9,2236,2236,
Clermont,Hall,0,437,1756,373,1,2567,2567,
Quillians,Hall,0,245,1489,324,1,2059,2059,
Bark Camp,Hall,0,532,2552,728,3,3815,3815,
Chestatee,Hall,0,529,1529,532,2,2592,2592,
Fork,Hall,0,561,1271,475,0,2307,2307,
Whelchel,Hall,0,425,1894,577,0,2896,2896,
West Whelchel,Hall,0,375,1629,822,1,2827,2827,
Gainesville I,Hall,0,452,1211,619,4,2286,2286,
Gainesville II,Hall,0,213,417,332,1,963,963,
Gainesville III,Hall,0,519,997,416,1,1933,1933,
Gainesville IV,Hall,0,262,797,344,0,1403,1403,
Gainesville V,Hall,0,186,424,163,0,773,773,
Gillsville,Hall,0,334,389,98,2,823,823,
Big Hickory,Hall,0,404,1912,499,1,2816,2816,
Friendship I,Hall,0,605,3821,1540,2,5968,5968,
Friendship II,Hall,0,443,1353,337,2,2135,2135,
Friendship III,Hall,0,415,2033,456,2,2906,2906,
Friendship IV,Hall,0,211,1828,361,4,2404,2404,
