Precinct,County,Registered Voters,Craig Herrington (I) (Rep)_Election Day Votes,Craig Herrington (I) (Rep)_Advanced Voting Votes,Craig Herrington (I) (Rep)_Absentee by Mail Votes,Craig Herrington (I) (Rep)_Provisional Votes,Craig Herrington (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,352,958,464,2,1776,1776,
Chicopee,Hall,0,168,295,126,1,590,590,
Oakwood I,Hall,0,303,687,234,0,1224,1224,
Oakwood II,Hall,0,442,1542,521,1,2506,2506,
Flowery Branch I,Hall,0,486,1705,581,0,2772,2772,
Flowery Branch II,Hall,0,462,1242,364,0,2068,2068,
Roberts,Hall,0,402,1509,652,1,2564,2564,
Morgan I,Hall,0,512,1727,431,0,2670,2670,
Morgan II,Hall,0,461,1856,574,2,2893,2893,
Candler,Hall,0,631,1902,593,0,3126,3126,
Tadmore,Hall,0,619,1424,523,5,2571,2571,
Glade,Hall,0,386,1230,344,3,1963,1963,
Lula,Hall,0,589,1291,336,8,2224,2224,
Clermont,Hall,0,434,1739,367,1,2541,2541,
Quillians,Hall,0,248,1462,317,1,2028,2028,
Bark Camp,Hall,0,532,2528,695,3,3758,3758,
Chestatee,Hall,0,523,1496,502,2,2523,2523,
Fork,Hall,0,548,1226,439,0,2213,2213,
Whelchel,Hall,0,397,1809,529,0,2735,2735,
West Whelchel,Hall,0,255,1125,542,1,1923,1923,
Gainesville I,Hall,0,48,138,42,3,231,231,
Gainesville II,Hall,0,82,180,119,1,382,382,
Gainesville III,Hall,0,140,250,134,0,524,524,
Gainesville IV,Hall,0,39,68,26,0,133,133,
Gainesville V,Hall,0,2,2,1,0,5,5,
Gillsville,Hall,0,331,390,95,1,817,817,
Big Hickory,Hall,0,395,1909,481,1,2786,2786,
Friendship I,Hall,0,604,3799,1481,2,5886,5886,
Friendship II,Hall,0,425,1275,323,1,2024,2024,
Friendship III,Hall,0,412,2011,440,2,2865,2865,
Friendship IV,Hall,0,208,1816,356,3,2383,2383,
