Precinct,County,Registered Voters,Charles Baker (I) (Rep)_Election Day Votes,Charles Baker (I) (Rep)_Advanced Voting Votes,Charles Baker (I) (Rep)_Absentee by Mail Votes,Charles Baker (I) (Rep)_Provisional Votes,Charles Baker (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,466,1912,1142,1,3521,3521,
Chicopee,Hall,0,361,1071,347,1,1780,1780,
Oakwood I,Hall,0,324,762,245,0,1331,1331,
Oakwood II,Hall,0,469,1632,550,1,2652,2652,
Flowery Branch I,Hall,0,489,1721,584,0,2794,2794,
Flowery Branch II,Hall,0,468,1251,361,4,2084,2084,
Roberts,Hall,0,579,2182,885,1,3647,3647,
Morgan I,Hall,0,518,1743,427,0,2688,2688,
Morgan II,Hall,0,460,1854,566,2,2882,2882,
Candler,Hall,0,666,2057,655,0,3378,3378,
Tadmore,Hall,0,660,1506,545,5,2716,2716,
Glade,Hall,0,418,1343,412,3,2176,2176,
Lula,Hall,0,590,1288,334,9,2221,2221,
Clermont,Hall,0,438,1741,363,1,2543,2543,
Quillians,Hall,0,246,1468,316,1,2031,2031,
Bark Camp,Hall,0,531,2536,709,3,3779,3779,
Chestatee,Hall,0,530,1519,526,2,2577,2577,
Fork,Hall,0,558,1271,458,0,2287,2287,
Whelchel,Hall,0,428,1872,555,0,2855,2855,
West Whelchel,Hall,0,374,1613,788,1,2776,2776,
Gainesville I,Hall,0,448,1196,588,4,2236,2236,
Gainesville II,Hall,0,203,400,323,1,927,927,
Gainesville III,Hall,0,517,992,402,1,1912,1912,
Gainesville IV,Hall,0,254,791,337,0,1382,1382,
Gainesville V,Hall,0,184,424,155,0,763,763,
Gillsville,Hall,0,334,391,96,2,823,823,
Big Hickory,Hall,0,402,1909,487,1,2799,2799,
Friendship I,Hall,0,605,3809,1478,2,5894,5894,
Friendship II,Hall,0,445,1347,329,2,2123,2123,
Friendship III,Hall,0,420,2023,438,2,2883,2883,
Friendship IV,Hall,0,213,1814,358,4,2389,2389,
