Precinct,County,Registered Voters,Matt Dubnik (I) (Rep)_Election Day Votes,Matt Dubnik (I) (Rep)_Advanced Voting Votes,Matt Dubnik (I) (Rep)_Absentee by Mail Votes,Matt Dubnik (I) (Rep)_Provisional Votes,Matt Dubnik (I) (Rep)_Choice Total,Pat Calmes (Dem)_Election Day Votes,Pat Calmes (Dem)_Advanced Voting Votes,Pat Calmes (Dem)_Absentee by Mail Votes,Pat Calmes (Dem)_Provisional Votes,Pat Calmes (Dem)_Choice Total,Total,
Wilson,Hall,0,282,1466,894,1,2643,120,344,516,1,981,3624,
Chicopee,Hall,0,181,700,211,0,1092,141,405,205,0,751,1843,
Oakwood I,Hall,0,0,1,0,0,1,0,0,0,0,0,1,
Glade,Hall,0,198,645,194,0,1037,63,184,161,4,412,1449,
Whelchel,Hall,0,181,707,249,0,1137,32,136,119,0,287,1424,
West Whelchel,Hall,0,343,1489,708,1,2541,59,237,291,0,587,3128,
Gainesville I,Hall,0,364,1002,472,3,1841,132,402,323,2,859,2700,
Gainesville II,Hall,0,67,103,83,0,253,262,536,480,0,1278,1531,
Gainesville III,Hall,0,178,413,171,1,763,268,429,233,0,930,1693,
Gainesville IV,Hall,0,181,576,224,0,981,72,275,199,0,546,1527,
Gainesville V,Hall,0,137,337,114,0,588,69,146,108,0,323,911,
