Precinct,County,Registered Voters,Patty Walters Laine (I) (Rep)_Election Day Votes,Patty Walters Laine (I) (Rep)_Advanced Voting Votes,Patty Walters Laine (I) (Rep)_Absentee by Mail Votes,Patty Walters Laine (I) (Rep)_Provisional Votes,Patty Walters Laine (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,462,1907,1158,1,3528,3528,
Chicopee,Hall,0,360,1063,351,0,1774,1774,
Oakwood I,Hall,0,325,756,254,0,1335,1335,
Oakwood II,Hall,0,465,1627,560,1,2653,2653,
Flowery Branch I,Hall,0,488,1708,592,0,2788,2788,
Flowery Branch II,Hall,0,464,1257,369,4,2094,2094,
Roberts,Hall,0,572,2176,905,1,3654,3654,
Morgan I,Hall,0,511,1729,432,0,2672,2672,
Morgan II,Hall,0,455,1863,576,2,2896,2896,
Candler,Hall,0,661,2051,668,0,3380,3380,
Tadmore,Hall,0,661,1502,553,5,2721,2721,
Glade,Hall,0,414,1341,415,3,2173,2173,
Lula,Hall,0,591,1286,341,9,2227,2227,
Clermont,Hall,0,434,1741,371,1,2547,2547,
Quillians,Hall,0,245,1468,322,1,2036,2036,
Bark Camp,Hall,0,529,2532,715,3,3779,3779,
Chestatee,Hall,0,533,1510,528,2,2573,2573,
Fork,Hall,0,554,1263,455,0,2272,2272,
Whelchel,Hall,0,426,1873,568,0,2867,2867,
West Whelchel,Hall,0,372,1613,799,1,2785,2785,
Gainesville I,Hall,0,450,1194,598,3,2245,2245,
Gainesville II,Hall,0,211,393,326,1,931,931,
Gainesville III,Hall,0,518,990,404,2,1914,1914,
Gainesville IV,Hall,0,255,788,342,0,1385,1385,
Gainesville V,Hall,0,186,420,159,0,765,765,
Gillsville,Hall,0,332,387,95,1,815,815,
Big Hickory,Hall,0,400,1915,487,1,2803,2803,
Friendship I,Hall,0,599,3804,1509,2,5914,5914,
Friendship II,Hall,0,440,1334,333,1,2108,2108,
Friendship III,Hall,0,417,2015,448,2,2882,2882,
Friendship IV,Hall,0,212,1811,363,4,2390,2390,
