Precinct,County,Registered Voters,Marion G. Merck (I) (Rep)_Election Day Votes,Marion G. Merck (I) (Rep)_Advanced Voting Votes,Marion G. Merck (I) (Rep)_Absentee by Mail Votes,Marion G. Merck (I) (Rep)_Provisional Votes,Marion G. Merck (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,463,1921,1171,2,3557,3557,
Chicopee,Hall,0,364,1073,361,1,1799,1799,
Oakwood I,Hall,0,329,767,257,0,1353,1353,
Oakwood II,Hall,0,466,1651,553,1,2671,2671,
Flowery Branch I,Hall,0,487,1712,581,0,2780,2780,
Flowery Branch II,Hall,0,464,1261,364,4,2093,2093,
Roberts,Hall,0,584,2185,896,1,3666,3666,
Morgan I,Hall,0,519,1750,437,0,2706,2706,
Morgan II,Hall,0,461,1891,591,2,2945,2945,
Candler,Hall,0,671,2069,663,0,3403,3403,
Tadmore,Hall,0,661,1520,565,5,2751,2751,
Glade,Hall,0,416,1363,423,3,2205,2205,
Lula,Hall,0,598,1304,338,8,2248,2248,
Clermont,Hall,0,438,1750,365,1,2554,2554,
Quillians,Hall,0,247,1481,320,1,2049,2049,
Bark Camp,Hall,0,533,2547,710,3,3793,3793,
Chestatee,Hall,0,535,1528,520,2,2585,2585,
Fork,Hall,0,560,1274,455,0,2289,2289,
Whelchel,Hall,0,425,1876,561,0,2862,2862,
West Whelchel,Hall,0,374,1621,807,1,2803,2803,
Gainesville I,Hall,0,451,1203,613,3,2270,2270,
Gainesville II,Hall,0,217,422,333,1,973,973,
Gainesville III,Hall,0,523,1021,410,2,1956,1956,
Gainesville IV,Hall,0,259,792,340,0,1391,1391,
Gainesville V,Hall,0,184,423,157,0,764,764,
Gillsville,Hall,0,334,393,97,2,826,826,
Big Hickory,Hall,0,403,1924,492,1,2820,2820,
Friendship I,Hall,0,610,3816,1498,2,5926,5926,
Friendship II,Hall,0,446,1343,331,2,2122,2122,
Friendship III,Hall,0,415,2021,442,2,2880,2880,
Friendship IV,Hall,0,210,1819,363,3,2395,2395,
