Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Wilson,Hall,0,373,1439,1028,2,2842,117,611,471,0,1199,4041,
Chicopee,Hall,0,314,884,324,1,1523,100,341,148,0,589,2112,
Oakwood I,Hall,0,253,650,239,0,1142,110,243,92,0,445,1587,
Oakwood II,Hall,0,361,1211,468,1,2041,137,528,213,0,878,2919,
Flowery Branch I,Hall,0,379,1284,509,0,2172,138,562,244,0,944,3116,
Flowery Branch II,Hall,0,359,960,350,3,1672,142,406,135,0,683,2355,
Roberts,Hall,0,421,1610,768,1,2800,182,732,329,0,1243,4043,
Morgan I,Hall,0,406,1294,356,0,2056,137,499,177,0,813,2869,
Morgan II,Hall,0,364,1484,518,2,2368,135,548,211,0,894,3262,
Candler,Hall,0,540,1604,545,0,2689,169,609,260,0,1038,3727,
Tadmore,Hall,0,583,1311,532,2,2428,194,478,212,2,886,3314,
Glade,Hall,0,351,1035,357,2,1745,100,384,158,1,643,2388,
Lula,Hall,0,469,934,245,4,1652,151,376,147,5,679,2331,
Clermont,Hall,0,319,1269,271,1,1860,120,524,142,0,786,2646,
Quillians,Hall,0,170,1045,206,1,1422,81,465,140,0,686,2108,
Bark Camp,Hall,0,424,1958,573,2,2957,125,681,293,1,1100,4057,
Chestatee,Hall,0,402,1139,444,1,1986,151,436,211,0,798,2784,
Fork,Hall,0,383,935,376,0,1694,180,419,196,2,797,2491,
Whelchel,Hall,0,331,1399,441,0,2171,120,556,271,0,947,3118,
West Whelchel,Hall,0,297,1237,718,1,2253,89,441,249,0,779,3032,
Gainesville I,Hall,0,362,993,534,3,1892,108,364,225,2,699,2591,
Gainesville II,Hall,0,260,487,452,1,1200,77,156,94,0,327,1527,
Gainesville III,Hall,0,464,902,374,2,1742,131,305,167,2,605,2347,
Gainesville IV,Hall,0,219,674,318,0,1211,76,230,118,0,424,1635,
Gainesville V,Hall,0,153,355,150,0,658,43,120,72,0,235,893,
Gillsville,Hall,0,230,266,67,1,564,110,128,44,0,282,846,
Big Hickory,Hall,0,280,1359,374,1,2014,120,576,193,0,889,2903,
Friendship I,Hall,0,449,2912,1361,2,4724,167,1146,611,1,1925,6649,
Friendship II,Hall,0,330,1022,264,1,1617,134,432,149,0,715,2332,
Friendship III,Hall,0,326,1505,428,2,2261,106,656,171,0,933,3194,
Friendship IV,Hall,0,163,1368,298,6,1835,55,595,183,1,834,2669,
