Precinct,County,Registered Voters,Chris M. Patton (I) (Rep)_Election Day Votes,Chris M. Patton (I) (Rep)_Advanced Voting Votes,Chris M. Patton (I) (Rep)_Absentee by Mail Votes,Chris M. Patton (I) (Rep)_Provisional Votes,Chris M. Patton (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,461,1910,1159,2,3532,3532,
Chicopee,Hall,0,360,1073,356,1,1790,1790,
Oakwood I,Hall,0,324,757,246,0,1327,1327,
Oakwood II,Hall,0,464,1639,545,1,2649,2649,
Flowery Branch I,Hall,0,488,1707,591,0,2786,2786,
Flowery Branch II,Hall,0,465,1255,366,4,2090,2090,
Roberts,Hall,0,581,2183,903,1,3668,3668,
Morgan I,Hall,0,514,1739,434,0,2687,2687,
Morgan II,Hall,0,460,1870,581,2,2913,2913,
Candler,Hall,0,662,2061,657,0,3380,3380,
Tadmore,Hall,0,662,1511,558,5,2736,2736,
Glade,Hall,0,413,1345,417,3,2178,2178,
Lula,Hall,0,590,1292,337,9,2228,2228,
Clermont,Hall,0,437,1755,372,1,2565,2565,
Quillians,Hall,0,246,1483,323,1,2053,2053,
Bark Camp,Hall,0,531,2549,712,3,3795,3795,
Chestatee,Hall,0,529,1527,529,2,2587,2587,
Fork,Hall,0,560,1272,460,0,2292,2292,
Whelchel,Hall,0,425,1883,558,0,2866,2866,
West Whelchel,Hall,0,375,1611,805,1,2792,2792,
Gainesville I,Hall,0,453,1196,610,3,2262,2262,
Gainesville II,Hall,0,211,394,318,1,924,924,
Gainesville III,Hall,0,515,1002,407,2,1926,1926,
Gainesville IV,Hall,0,257,790,335,0,1382,1382,
Gainesville V,Hall,0,184,426,161,0,771,771,
Gillsville,Hall,0,331,391,96,1,819,819,
Big Hickory,Hall,0,401,1923,490,1,2815,2815,
Friendship I,Hall,0,606,3814,1485,2,5907,5907,
Friendship II,Hall,0,444,1340,327,2,2113,2113,
Friendship III,Hall,0,414,2022,443,2,2881,2881,
Friendship IV,Hall,0,209,1818,361,4,2392,2392,
