Precinct,County,Registered Voters,Brian L. Prince (I) (Dem)_Election Day Votes,Brian L. Prince (I) (Dem)_Advanced Voting Votes,Brian L. Prince (I) (Dem)_Absentee by Mail Votes,Brian L. Prince (I) (Dem)_Provisional Votes,Brian L. Prince (I) (Dem)_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,72,102,55,2,231,231,
Matthews,Jefferson,621,134,117,58,0,309,309,
Wrens,Jefferson,2870,457,643,354,2,1456,1456,
Louisville,Jefferson,3899,326,1173,498,5,2002,2002,
Stapleton,Jefferson,678,152,94,53,0,299,299,
Avera,Jefferson,388,104,46,25,0,175,175,
