Precinct,County,Registered Voters,Jerry Lee Taylor (Rep)_Election Day Votes,Jerry Lee Taylor (Rep)_Advanced Voting Votes,Jerry Lee Taylor (Rep)_Absentee by Mail Votes,Jerry Lee Taylor (Rep)_Provisional Votes,Jerry Lee Taylor (Rep)_Choice Total,Edward C. James (I) (Dem)_Election Day Votes,Edward C. James (I) (Dem)_Advanced Voting Votes,Edward C. James (I) (Dem)_Absentee by Mail Votes,Edward C. James (I) (Dem)_Provisional Votes,Edward C. James (I) (Dem)_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,32,51,8,0,91,68,82,62,2,214,305,
Matthews,Jefferson,621,68,43,17,0,128,156,108,61,1,326,454,
Wrens,Jefferson,2870,84,160,25,0,269,481,729,398,3,1611,1880,
Louisville,Jefferson,3899,117,719,168,1,1005,262,874,421,4,1561,2566,
Wadley,Jefferson,1906,70,190,48,0,308,249,332,292,0,873,1181,
Bartow,Jefferson,531,59,81,23,0,163,69,77,36,0,182,345,
Stapleton,Jefferson,678,66,27,11,0,104,165,118,61,0,344,448,
Avera,Jefferson,388,53,18,7,1,79,120,49,32,0,201,280,
