Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,73,92,42,1,208,23,37,23,1,84,292,
Matthews,Jefferson,621,141,107,44,1,293,58,32,25,0,115,408,
Wrens,Jefferson,2870,404,565,255,2,1226,125,261,131,1,518,1744,
Louisville,Jefferson,3899,268,1015,371,3,1657,95,463,174,2,734,2391,
Wadley,Jefferson,1906,204,343,218,0,765,81,121,86,0,288,1053,
Bartow,Jefferson,531,84,101,40,0,225,33,41,16,0,90,315,
Stapleton,Jefferson,678,146,90,47,0,283,60,41,20,0,121,404,
Avera,Jefferson,388,117,42,17,0,176,39,17,16,0,72,248,
