Precinct,County,Registered Voters,Anne L. Durden (I) (Dem)_Election Day Votes,Anne L. Durden (I) (Dem)_Advanced Voting Votes,Anne L. Durden (I) (Dem)_Absentee by Mail Votes,Anne L. Durden (I) (Dem)_Provisional Votes,Anne L. Durden (I) (Dem)_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,80,107,54,2,243,243,
Matthews,Jefferson,621,159,128,60,0,347,347,
Wrens,Jefferson,2870,480,702,374,2,1558,1558,
Louisville,Jefferson,3899,334,1269,522,5,2130,2130,
Wadley,Jefferson,1906,275,425,280,0,980,980,
Bartow,Jefferson,531,104,127,54,0,285,285,
Stapleton,Jefferson,678,163,105,54,0,322,322,
Avera,Jefferson,388,127,50,31,0,208,208,
