Precinct,County,Registered Voters,Clay Pate (I) (Rep)_Election Day Votes,Clay Pate (I) (Rep)_Advanced Voting Votes,Clay Pate (I) (Rep)_Absentee by Mail Votes,Clay Pate (I) (Rep)_Provisional Votes,Clay Pate (I) (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,293,1178,297,12,1780,1780,
Brighton,Tift,2219,360,1091,192,0,1643,1643,
Brookfield,Tift,1501,331,555,82,0,968,968,
Chula,Tift,1314,319,525,132,1,977,977,
Docia,Tift,1056,242,450,99,1,792,792,
Eldorado,Tift,1262,303,447,79,2,831,831,
Omega,Tift,864,286,162,42,1,491,491,
Ty Ty,Tift,1221,286,373,86,1,746,746,
Tifton Northwest,Tift,3334,352,1406,287,0,2045,2045,
Tifton South,Tift,2366,154,449,143,1,747,747,
Mott-Litman Gym,Tift,2889,195,484,169,1,849,849,
Tifton Lodge,Tift,3091,254,1186,286,0,1726,1726,
