Precinct,County,Registered Voters,Tony McBrayer (Rep)_Election Day Votes,Tony McBrayer (Rep)_Advanced Voting Votes,Tony McBrayer (Rep)_Absentee by Mail Votes,Tony McBrayer (Rep)_Provisional Votes,Tony McBrayer (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,289,1169,290,12,1760,1760,
Brighton,Tift,2219,353,1095,186,0,1634,1634,
Brookfield,Tift,1501,330,555,84,0,969,969,
Chula,Tift,1314,319,528,133,1,981,981,
Docia,Tift,1056,244,454,100,1,799,799,
Eldorado,Tift,1262,302,444,80,2,828,828,
Omega,Tift,864,288,162,42,1,493,493,
Ty Ty,Tift,1221,287,378,86,1,752,752,
Tifton Northwest,Tift,3334,348,1387,289,0,2024,2024,
Tifton South,Tift,2366,157,458,138,1,754,754,
Mott-Litman Gym,Tift,2889,179,465,160,1,805,805,
Tifton Lodge,Tift,3091,252,1174,283,0,1709,1709,
