Precinct,County,Registered Voters,Melissa Hughes (I) (Dem)_Election Day Votes,Melissa Hughes (I) (Dem)_Advanced Voting Votes,Melissa Hughes (I) (Dem)_Absentee by Mail Votes,Melissa Hughes (I) (Dem)_Provisional Votes,Melissa Hughes (I) (Dem)_Choice Total,Total,
Tifton Northeast,Tift,3332,25,44,21,9,99,99,
Brookfield,Tift,1501,7,21,2,0,30,30,
Mott-Litman Gym,Tift,2889,216,557,260,2,1035,1035,
Tifton Lodge,Tift,3091,40,125,42,0,207,207,
