Precinct,County,Registered Voters,Marilyn R. Burks (I) (Dem)_Election Day Votes,Marilyn R. Burks (I) (Dem)_Advanced Voting Votes,Marilyn R. Burks (I) (Dem)_Absentee by Mail Votes,Marilyn R. Burks (I) (Dem)_Provisional Votes,Marilyn R. Burks (I) (Dem)_Choice Total,Total,
Docia,Tift,1056,15,37,5,0,57,57,
Eldorado,Tift,1262,32,116,16,1,165,165,
Tifton Northwest,Tift,3334,78,228,75,0,381,381,
Tifton South,Tift,2366,213,490,242,4,949,949,
Mott-Litman Gym,Tift,2889,41,81,71,1,194,194,
