Precinct,County,Registered Voters,Earle Rainwater (I) (Dem)_Election Day Votes,Earle Rainwater (I) (Dem)_Advanced Voting Votes,Earle Rainwater (I) (Dem)_Absentee by Mail Votes,Earle Rainwater (I) (Dem)_Provisional Votes,Earle Rainwater (I) (Dem)_Choice Total,Total,
Coldwater,Chattooga,248,32,100,35,0,167,167,
Dirtseller,Chattooga,186,47,60,10,0,117,117,
Haywood,Chattooga,169,68,16,8,1,93,93,
Lyerly,Chattooga,934,241,289,77,1,608,608,
Trion,Chattooga,3496,579,1182,350,1,2112,2112,
Summerville,Chattooga,5155,626,1893,637,2,3158,3158,
Teloga,Chattooga,593,78,230,78,0,386,386,
Dirttown,Chattooga,897,234,244,97,0,575,575,
Seminole,Chattooga,138,37,41,17,0,95,95,
Subligna,Chattooga,489,146,110,56,1,313,313,
Alpine,Chattooga,872,273,237,92,0,602,602,
Cloudland,Chattooga,378,81,125,50,0,256,256,
Pennville,Chattooga,588,72,196,51,0,319,319,
