Precinct,County,Registered Voters,Bill Hitchens (I) (Rep)_Election Day Votes,Bill Hitchens (I) (Rep)_Advanced Voting Votes,Bill Hitchens (I) (Rep)_Absentee by Mail Votes,Bill Hitchens (I) (Rep)_Provisional Votes,Bill Hitchens (I) (Rep)_Choice Total,Total,
1A,Effingham,1965,434,711,150,1,1296,1296,
1C,Effingham,1446,468,323,92,0,883,883,
1D,Effingham,2031,577,599,133,1,1310,1310,
2A,Effingham,3038,686,1045,268,1,2000,2000,
2B,Effingham,3010,596,897,259,0,1752,1752,
2C,Effingham,4621,751,1675,435,3,2864,2864,
4B,Effingham,1888,80,229,51,0,360,360,
5A,Effingham,2924,491,1027,225,1,1744,1744,
5B,Effingham,3962,610,1273,303,1,2187,2187,
5C,Effingham,1684,287,589,155,1,1032,1032,
