Precinct,County,Registered Voters,Reggie Loper (I) (Rep)_Election Day Votes,Reggie Loper (I) (Rep)_Advanced Voting Votes,Reggie Loper (I) (Rep)_Absentee by Mail Votes,Reggie Loper (I) (Rep)_Provisional Votes,Reggie Loper (I) (Rep)_Choice Total,Total,
4A,Effingham,3726,536,1393,293,0,2222,2222,
4B,Effingham,1888,263,585,156,0,1004,1004,
4C,Effingham,2837,467,1028,233,0,1728,1728,
