Precinct,County,Registered Voters,Billy Hickman (I) (Rep)_Election Day Votes,Billy Hickman (I) (Rep)_Advanced Voting Votes,Billy Hickman (I) (Rep)_Absentee by Mail Votes,Billy Hickman (I) (Rep)_Provisional Votes,Billy Hickman (I) (Rep)_Choice Total,Total,
1A,Effingham,1965,431,712,147,1,1291,1291,
1B,Effingham,3005,666,983,236,2,1887,1887,
1C,Effingham,1446,462,318,90,0,870,870,
1D,Effingham,2031,574,597,134,1,1306,1306,
2A,Effingham,3038,683,1030,264,1,1978,1978,
2B,Effingham,3010,590,891,261,1,1743,1743,
2C,Effingham,4621,750,1667,430,3,2850,2850,
3A,Effingham,1398,348,452,108,0,908,908,
3B,Effingham,1553,329,447,116,0,892,892,
3C,Effingham,2060,338,763,147,1,1249,1249,
3D,Effingham,3125,537,1130,214,4,1885,1885,
4A,Effingham,3726,537,1396,295,2,2230,2230,
4B,Effingham,1888,264,588,150,0,1002,1002,
4C,Effingham,2837,470,1039,247,0,1756,1756,
5A,Effingham,2924,486,1010,226,2,1724,1724,
5B,Effingham,3962,603,1253,304,1,2161,2161,
5C,Effingham,1684,283,594,153,1,1031,1031,
