Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
1A,Effingham,1965,379,629,100,1,1109,61,138,95,0,294,18,20,7,0,45,1448,
1B,Effingham,3005,583,899,173,1,1656,83,122,102,0,307,30,15,18,0,63,2026,
1C,Effingham,1446,405,281,64,0,750,69,69,54,0,192,22,7,2,0,31,973,
1D,Effingham,2031,529,561,113,1,1204,52,62,61,0,175,19,10,6,0,35,1414,
2A,Effingham,3038,598,901,202,1,1702,83,219,134,0,436,43,30,17,0,90,2228,
2B,Effingham,3010,500,761,186,1,1448,110,246,158,1,515,35,28,12,0,75,2038,
2C,Effingham,4621,620,1436,274,2,2332,146,398,295,2,841,47,61,16,0,124,3297,
3A,Effingham,1398,301,414,86,0,801,46,65,44,0,155,12,7,3,0,22,978,
3B,Effingham,1553,246,387,76,0,709,132,138,96,0,366,16,12,8,0,36,1111,
3C,Effingham,2060,288,672,112,1,1073,61,175,55,1,292,11,18,5,0,34,1399,
3D,Effingham,3125,420,974,139,4,1537,143,257,148,1,549,31,31,10,0,72,2158,
4A,Effingham,3726,464,1196,212,0,1872,81,305,154,2,542,33,42,9,0,84,2498,
4B,Effingham,1888,223,511,91,0,825,69,172,135,0,376,11,8,6,0,25,1226,
4C,Effingham,2837,406,958,176,0,1540,60,114,116,0,290,29,27,9,0,65,1895,
5A,Effingham,2924,395,931,170,1,1497,86,190,117,2,395,39,19,11,0,69,1961,
5B,Effingham,3962,464,1002,188,1,1655,193,464,235,0,892,18,35,19,0,72,2619,
5C,Effingham,1684,237,490,101,1,829,56,164,100,1,321,18,25,8,0,51,1201,
