Precinct,County,Registered Voters,Frank Forrest Floyd (I) (Rep)_Election Day Votes,Frank Forrest Floyd (I) (Rep)_Advanced Voting Votes,Frank Forrest Floyd (I) (Rep)_Absentee by Mail Votes,Frank Forrest Floyd (I) (Rep)_Provisional Votes,Frank Forrest Floyd (I) (Rep)_Choice Total,Total,
1A,Effingham,1965,428,706,150,0,1284,1284,
1B,Effingham,3005,664,973,232,1,1870,1870,
1C,Effingham,1446,460,320,93,0,873,873,
1D,Effingham,2031,573,593,136,1,1303,1303,
