Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
1A,Effingham,1965,384,639,103,1,1127,58,135,97,0,290,19,20,4,0,43,1460,
1B,Effingham,3005,591,913,178,2,1684,80,121,99,0,300,32,24,20,0,76,2060,
1C,Effingham,1446,411,284,69,0,764,65,61,49,0,175,23,13,4,0,40,979,
1D,Effingham,2031,536,559,114,1,1210,49,59,60,0,168,20,17,8,0,45,1423,
2A,Effingham,3038,601,906,202,1,1710,89,212,134,0,435,36,33,26,0,95,2240,
2B,Effingham,3010,501,772,191,0,1464,105,234,152,1,492,44,36,19,1,100,2056,
2C,Effingham,4621,621,1459,278,2,2360,141,389,283,2,815,51,67,29,0,147,3322,
3A,Effingham,1398,310,421,88,0,819,45,65,44,0,154,13,12,3,0,28,1001,
3B,Effingham,1553,252,391,79,0,722,122,136,94,0,352,18,13,7,0,38,1112,
3C,Effingham,2060,297,676,111,1,1085,58,175,57,1,291,11,17,7,0,35,1411,
3D,Effingham,3125,420,994,142,4,1560,140,244,147,1,532,32,35,12,1,80,2172,
4A,Effingham,3726,473,1215,206,0,1894,81,303,157,2,543,32,45,19,0,96,2533,
4B,Effingham,1888,226,518,93,0,837,71,171,143,0,385,9,9,5,0,23,1245,
4C,Effingham,2837,411,967,182,0,1560,59,113,116,0,288,30,31,10,0,71,1919,
5A,Effingham,2924,399,933,173,1,1506,85,190,115,2,392,40,27,11,0,78,1976,
5B,Effingham,3962,468,1004,191,1,1664,190,460,242,0,892,24,49,21,0,94,2650,
5C,Effingham,1684,241,492,100,1,834,56,167,103,1,327,17,21,10,0,48,1209,
