Precinct,County,Registered Voters,Buddy Deloach (Rep)_Election Day Votes,Buddy Deloach (Rep)_Advanced Voting Votes,Buddy Deloach (Rep)_Absentee by Mail Votes,Buddy Deloach (Rep)_Provisional Votes,Buddy Deloach (Rep)_Choice Total,Total,
Beards Creek,Long,1539,261,325,87,2,675,675,
Rye Patch/Oak Dale,Long,3131,390,849,151,3,1393,1393,
South Ludowici,Long,1392,129,293,64,2,488,488,
North Ludowici,Long,2281,224,578,112,3,917,917,
Tibet,Long,920,166,290,34,0,490,490,
Alma Flournoy,Long,298,68,101,15,2,186,186,
Faith Baptist Annex,Long,909,104,283,39,1,427,427,
