Precinct,County,Registered Voters,Patty Bentley (I) (Dem)_Election Day Votes,Patty Bentley (I) (Dem)_Advanced Voting Votes,Patty Bentley (I) (Dem)_Absentee by Mail Votes,Patty Bentley (I) (Dem)_Provisional Votes,Patty Bentley (I) (Dem)_Choice Total,Total,
Lilly,Dooly,536,95,128,49,0,272,272,
Byromville,Dooly,609,144,140,73,2,359,359,
Unadilla,Dooly,1634,234,406,167,0,807,807,
Vienna,Dooly,2696,194,948,253,0,1395,1395,
Pinehurst,Dooly,474,86,140,47,0,273,273,
