Precinct,County,Registered Voters,Wanda Nelson (I) (Rep)_Election Day Votes,Wanda Nelson (I) (Rep)_Advanced Voting Votes,Wanda Nelson (I) (Rep)_Absentee by Mail Votes,Wanda Nelson (I) (Rep)_Provisional Votes,Wanda Nelson (I) (Rep)_Choice Total,Total,
Sapelo Island,McIntosh,53,8,10,8,0,26,26,
Townsend,McIntosh,564,89,123,153,0,365,365,
Crescent,McIntosh,1982,229,524,228,0,981,981,
Darien,McIntosh,2441,160,887,338,0,1385,1385,
South Newport,McIntosh,2095,334,742,351,1,1428,1428,
North Darien,McIntosh,2157,252,753,222,0,1227,1227,
