Precinct,County,Registered Voters,Brian S. Jackson (I) (Rep)_Election Day Votes,Brian S. Jackson (I) (Rep)_Advanced Voting Votes,Brian S. Jackson (I) (Rep)_Absentee by Mail Votes,Brian S. Jackson (I) (Rep)_Provisional Votes,Brian S. Jackson (I) (Rep)_Choice Total,Total,
Gray,Jones,0,277,1292,298,0,1867,1867,
Hawkins,Jones,0,377,880,390,0,1647,1647,
Ethridge,Jones,0,229,646,203,0,1078,1078,
Clinton,Jones,0,333,979,262,2,1576,1576,
Roberts,Jones,0,528,737,283,1,1549,1549,
Davidson,Jones,0,372,545,136,0,1053,1053,
Pope,Jones,0,370,619,177,2,1168,1168,
Barron,Jones,0,316,436,135,0,887,887,
Sanders,Jones,0,98,16,16,0,130,130,
Finney,Jones,0,630,848,301,1,1780,1780,
