Precinct,County,Registered Voters,Samuel C. Baker_Election Day Votes,Samuel C. Baker_Advanced Voting Votes,Samuel C. Baker_Absentee by Mail Votes,Samuel C. Baker_Provisional Votes,Samuel C. Baker_Choice Total,Total,
Ailey,Montgomery,431,76,157,42,0,275,275,
Alston,Montgomery,472,125,144,37,0,306,306,
Higgston,Montgomery,1340,276,449,118,0,843,843,
Kibbee,Montgomery,532,134,130,48,0,312,312,
Mount Vernon,Montgomery,1444,225,427,154,0,806,806,
Tarrytown,Montgomery,333,98,78,29,0,205,205,
Uvalda,Montgomery,911,213,200,86,0,499,499,
