Precinct,County,Registered Voters,Doug Maybin (I) (Rep)_Election Day Votes,Doug Maybin (I) (Rep)_Advanced Voting Votes,Doug Maybin (I) (Rep)_Absentee by Mail Votes,Doug Maybin (I) (Rep)_Provisional Votes,Doug Maybin (I) (Rep)_Choice Total,Total,
Ailey,Montgomery,431,85,179,49,0,313,313,
Alston,Montgomery,472,144,160,40,0,344,344,
Higgston,Montgomery,1340,297,477,114,0,888,888,
Kibbee,Montgomery,532,154,145,66,0,365,365,
Mount Vernon,Montgomery,1444,230,439,162,0,831,831,
Tarrytown,Montgomery,333,115,90,31,0,236,236,
Uvalda,Montgomery,911,225,229,79,0,533,533,
