Precinct,County,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,
Ailey,Montgomery,431,80,171,39,0,290,290,
Alston,Montgomery,472,142,158,37,0,337,337,
Higgston,Montgomery,1340,294,473,114,0,881,881,
Kibbee,Montgomery,532,162,148,60,0,370,370,
Mount Vernon,Montgomery,1444,213,417,134,0,764,764,
Tarrytown,Montgomery,333,113,92,26,0,231,231,
Uvalda,Montgomery,911,228,225,68,0,521,521,
