Precinct,County,Registered Voters,"David """"Andy"""" Chastain (I) (Rep)_Election Day Votes","David """"Andy"""" Chastain (I) (Rep)_Advanced Voting Votes","David """"Andy"""" Chastain (I) (Rep)_Absentee by Mail Votes","David """"Andy"""" Chastain (I) (Rep)_Provisional Votes","David """"Andy"""" Chastain (I) (Rep)_Choice Total",Total,
Yatesville,Upson,1347,379,384,130,0,893,893,
Salem,Upson,370,53,66,66,0,185,185,
Redbone,Upson,8219,698,3702,854,2,5256,5256,
Town,Upson,8239,616,2811,953,2,4382,4382,
