Precinct,County,Registered Voters,Teresa S. Harper (I) (Rep)_Election Day Votes,Teresa S. Harper (I) (Rep)_Advanced Voting Votes,Teresa S. Harper (I) (Rep)_Absentee by Mail Votes,Teresa S. Harper (I) (Rep)_Provisional Votes,Teresa S. Harper (I) (Rep)_Choice Total,Total,
Yatesville,Upson,1347,386,393,137,0,916,916,
Salem,Upson,370,51,70,66,0,187,187,
Redbone,Upson,8219,709,3819,880,2,5410,5410,
Town,Upson,8239,629,2907,991,2,4529,4529,
