index,County,Precinct,Registered Voters,Margaret S. Gregory (I) (Rep)_Election Day Votes,Margaret S. Gregory (I) (Rep)_Advanced Voting Votes,Margaret S. Gregory (I) (Rep)_Absentee by Mail Votes,Margaret S. Gregory (I) (Rep)_Provisional Votes,Margaret S. Gregory (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,460,1899,1157,2,3518,3518,
1,Hall,Chicopee,0,360,1061,351,0,1772,1772,
2,Hall,Oakwood I,0,329,753,246,0,1328,1328,
3,Hall,Oakwood II,0,461,1630,544,1,2636,2636,
4,Hall,Flowery Branch I,0,482,1704,584,0,2770,2770,
5,Hall,Flowery Branch II,0,462,1250,364,4,2080,2080,
6,Hall,Roberts,0,576,2180,898,1,3655,3655,
7,Hall,Morgan I,0,510,1729,431,0,2670,2670,
8,Hall,Morgan II,0,457,1866,578,2,2903,2903,
9,Hall,Candler,0,665,2055,661,0,3381,3381,
10,Hall,Tadmore,0,659,1509,552,5,2725,2725,
11,Hall,Glade,0,414,1342,419,3,2178,2178,
12,Hall,Lula,0,591,1284,339,8,2222,2222,
13,Hall,Clermont,0,434,1741,367,1,2543,2543,
14,Hall,Quillians,0,247,1465,322,1,2035,2035,
15,Hall,Bark Camp,0,531,2523,700,3,3757,3757,
16,Hall,Chestatee,0,529,1513,521,2,2565,2565,
17,Hall,Fork,0,555,1267,455,0,2277,2277,
18,Hall,Whelchel,0,422,1872,556,0,2850,2850,
19,Hall,West Whelchel,0,374,1616,795,1,2786,2786,
20,Hall,Gainesville I,0,448,1197,604,4,2253,2253,
21,Hall,Gainesville II,0,214,411,319,1,945,945,
22,Hall,Gainesville III,0,515,1003,408,2,1928,1928,
23,Hall,Gainesville IV,0,258,799,334,0,1391,1391,
24,Hall,Gainesville V,0,186,427,161,0,774,774,
25,Hall,Gillsville,0,331,391,96,1,819,819,
26,Hall,Big Hickory,0,401,1914,490,1,2806,2806,
27,Hall,Friendship I,0,605,3797,1487,2,5891,5891,
28,Hall,Friendship II,0,434,1330,329,2,2095,2095,
29,Hall,Friendship III,0,413,1995,447,2,2857,2857,
30,Hall,Friendship IV,0,208,1817,359,4,2388,2388,
