index,County,Precinct,Registered Voters,Marion G. Merck (I) (Rep)_Election Day Votes,Marion G. Merck (I) (Rep)_Advanced Voting Votes,Marion G. Merck (I) (Rep)_Absentee by Mail Votes,Marion G. Merck (I) (Rep)_Provisional Votes,Marion G. Merck (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,463,1921,1171,2,3557,3557,
1,Hall,Chicopee,0,364,1073,361,1,1799,1799,
2,Hall,Oakwood I,0,329,767,257,0,1353,1353,
3,Hall,Oakwood II,0,466,1651,553,1,2671,2671,
4,Hall,Flowery Branch I,0,487,1712,581,0,2780,2780,
5,Hall,Flowery Branch II,0,464,1261,364,4,2093,2093,
6,Hall,Roberts,0,584,2185,896,1,3666,3666,
7,Hall,Morgan I,0,519,1750,437,0,2706,2706,
8,Hall,Morgan II,0,461,1891,591,2,2945,2945,
9,Hall,Candler,0,671,2069,663,0,3403,3403,
10,Hall,Tadmore,0,661,1520,565,5,2751,2751,
11,Hall,Glade,0,416,1363,423,3,2205,2205,
12,Hall,Lula,0,598,1304,338,8,2248,2248,
13,Hall,Clermont,0,438,1750,365,1,2554,2554,
14,Hall,Quillians,0,247,1481,320,1,2049,2049,
15,Hall,Bark Camp,0,533,2547,710,3,3793,3793,
16,Hall,Chestatee,0,535,1528,520,2,2585,2585,
17,Hall,Fork,0,560,1274,455,0,2289,2289,
18,Hall,Whelchel,0,425,1876,561,0,2862,2862,
19,Hall,West Whelchel,0,374,1621,807,1,2803,2803,
20,Hall,Gainesville I,0,451,1203,613,3,2270,2270,
21,Hall,Gainesville II,0,217,422,333,1,973,973,
22,Hall,Gainesville III,0,523,1021,410,2,1956,1956,
23,Hall,Gainesville IV,0,259,792,340,0,1391,1391,
24,Hall,Gainesville V,0,184,423,157,0,764,764,
25,Hall,Gillsville,0,334,393,97,2,826,826,
26,Hall,Big Hickory,0,403,1924,492,1,2820,2820,
27,Hall,Friendship I,0,610,3816,1498,2,5926,5926,
28,Hall,Friendship II,0,446,1343,331,2,2122,2122,
29,Hall,Friendship III,0,415,2021,442,2,2880,2880,
30,Hall,Friendship IV,0,210,1819,363,3,2395,2395,
