index,County,Precinct,Registered Voters,Charles Baker (I) (Rep)_Election Day Votes,Charles Baker (I) (Rep)_Advanced Voting Votes,Charles Baker (I) (Rep)_Absentee by Mail Votes,Charles Baker (I) (Rep)_Provisional Votes,Charles Baker (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,466,1912,1142,1,3521,3521,
1,Hall,Chicopee,0,361,1071,347,1,1780,1780,
2,Hall,Oakwood I,0,324,762,245,0,1331,1331,
3,Hall,Oakwood II,0,469,1632,550,1,2652,2652,
4,Hall,Flowery Branch I,0,489,1721,584,0,2794,2794,
5,Hall,Flowery Branch II,0,468,1251,361,4,2084,2084,
6,Hall,Roberts,0,579,2182,885,1,3647,3647,
7,Hall,Morgan I,0,518,1743,427,0,2688,2688,
8,Hall,Morgan II,0,460,1854,566,2,2882,2882,
9,Hall,Candler,0,666,2057,655,0,3378,3378,
10,Hall,Tadmore,0,660,1506,545,5,2716,2716,
11,Hall,Glade,0,418,1343,412,3,2176,2176,
12,Hall,Lula,0,590,1288,334,9,2221,2221,
13,Hall,Clermont,0,438,1741,363,1,2543,2543,
14,Hall,Quillians,0,246,1468,316,1,2031,2031,
15,Hall,Bark Camp,0,531,2536,709,3,3779,3779,
16,Hall,Chestatee,0,530,1519,526,2,2577,2577,
17,Hall,Fork,0,558,1271,458,0,2287,2287,
18,Hall,Whelchel,0,428,1872,555,0,2855,2855,
19,Hall,West Whelchel,0,374,1613,788,1,2776,2776,
20,Hall,Gainesville I,0,448,1196,588,4,2236,2236,
21,Hall,Gainesville II,0,203,400,323,1,927,927,
22,Hall,Gainesville III,0,517,992,402,1,1912,1912,
23,Hall,Gainesville IV,0,254,791,337,0,1382,1382,
24,Hall,Gainesville V,0,184,424,155,0,763,763,
25,Hall,Gillsville,0,334,391,96,2,823,823,
26,Hall,Big Hickory,0,402,1909,487,1,2799,2799,
27,Hall,Friendship I,0,605,3809,1478,2,5894,5894,
28,Hall,Friendship II,0,445,1347,329,2,2123,2123,
29,Hall,Friendship III,0,420,2023,438,2,2883,2883,
30,Hall,Friendship IV,0,213,1814,358,4,2389,2389,
