Precinct,County,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
Carnesville,Franklin,2382,269,1107,236,0,1612,1612,
West Franklin,Franklin,1764,330,593,184,0,1107,1107,
Northeast Franklin,Franklin,2935,471,1058,359,1,1889,1889,
Lavonia,Franklin,2355,351,797,253,0,1401,1401,
Canon,Franklin,1244,302,413,122,0,837,837,
Royston,Franklin,2034,314,687,259,0,1260,1260,
Southwest Franklin,Franklin,2432,412,972,233,0,1617,1617,
