Precinct,County,Registered Voters,"C. Robert """"Bobby"""" Martin (I) (Rep)_Election Day Votes","C. Robert """"Bobby"""" Martin (I) (Rep)_Advanced Voting Votes","C. Robert """"Bobby"""" Martin (I) (Rep)_Absentee by Mail Votes","C. Robert """"Bobby"""" Martin (I) (Rep)_Provisional Votes","C. Robert """"Bobby"""" Martin (I) (Rep)_Choice Total",Total,
Carnesville,Franklin,2382,270,1120,253,0,1643,1643,
West Franklin,Franklin,1764,336,598,186,0,1120,1120,
Northeast Franklin,Franklin,2935,476,1055,364,1,1896,1896,
Lavonia,Franklin,2355,355,806,257,0,1418,1418,
Canon,Franklin,1244,299,416,121,0,836,836,
Royston,Franklin,2034,323,680,268,0,1271,1271,
Southwest Franklin,Franklin,2432,416,974,238,0,1628,1628,
