Precinct,County,Registered Voters,Stevie Thomas (I) (Rep)_Election Day Votes,Stevie Thomas (I) (Rep)_Advanced Voting Votes,Stevie Thomas (I) (Rep)_Absentee by Mail Votes,Stevie Thomas (I) (Rep)_Provisional Votes,Stevie Thomas (I) (Rep)_Choice Total,Total,
Carnesville,Franklin,2382,262,1062,237,0,1561,1561,
West Franklin,Franklin,1764,321,569,182,0,1072,1072,
Northeast Franklin,Franklin,2935,452,1027,356,1,1836,1836,
Lavonia,Franklin,2355,356,793,256,0,1405,1405,
Canon,Franklin,1244,303,408,122,0,833,833,
Royston,Franklin,2034,320,665,271,0,1256,1256,
Southwest Franklin,Franklin,2432,396,934,227,0,1557,1557,
