Precinct,County,Registered Voters,Melinda Strickland (I) (Rep)_Election Day Votes,Melinda Strickland (I) (Rep)_Advanced Voting Votes,Melinda Strickland (I) (Rep)_Absentee by Mail Votes,Melinda Strickland (I) (Rep)_Provisional Votes,Melinda Strickland (I) (Rep)_Choice Total,Total,
Alto Park,Floyd,3360,387,1293,387,10,2077,2077,
Armuchee,Floyd,1269,294,424,122,2,842,842,
Barkers,Floyd,2355,417,992,213,6,1628,1628,
Cave Spring,Floyd,1617,456,366,170,2,994,994,
Chulio,Floyd,1155,301,364,117,11,793,793,
Etowah,Floyd,4946,646,2112,550,8,3316,3316,
Everett Springs,Floyd,421,190,74,37,3,304,304,
Floyd Springs,Floyd,1666,426,616,156,24,1222,1222,
Fosters Mill,Floyd,971,292,293,73,0,658,658,
Garden Lakes,Floyd,2261,280,735,245,6,1266,1266,
Glenwood,Floyd,3635,584,1179,350,1,2114,2114,
Howell,Floyd,1492,435,439,132,1,1007,1007,
East Lindale,Floyd,3398,496,1249,355,0,2100,2100,
North Carolina,Floyd,1865,290,609,156,3,1058,1058,
Riverside,Floyd,826,172,251,58,4,485,485,
Texas Valley,Floyd,762,265,230,74,3,572,572,
Vanns Valley,Floyd,896,162,225,99,3,489,489,
Watters,Floyd,3566,707,1299,324,10,2340,2340,
West Lindale,Floyd,2929,538,930,243,0,1711,1711,
