Precinct,County,Registered Voters,Jay Shell (I) (Rep)_Election Day Votes,Jay Shell (I) (Rep)_Advanced Voting Votes,Jay Shell (I) (Rep)_Absentee by Mail Votes,Jay Shell (I) (Rep)_Provisional Votes,Jay Shell (I) (Rep)_Choice Total,Total,
Alto Park,Floyd,3360,373,1290,395,13,2071,2071,
Armuchee,Floyd,1269,295,420,119,2,836,836,
Barkers,Floyd,2355,410,997,215,6,1628,1628,
Cave Spring,Floyd,1617,458,358,166,2,984,984,
Chulio,Floyd,1155,293,363,115,10,781,781,
Etowah,Floyd,4946,640,2090,528,7,3265,3265,
Everett Springs,Floyd,421,187,72,37,3,299,299,
Floyd Springs,Floyd,1666,424,608,154,22,1208,1208,
Fosters Mill,Floyd,971,288,288,72,0,648,648,
Garden Lakes,Floyd,2261,277,734,242,6,1259,1259,
Glenwood,Floyd,3635,577,1179,351,1,2108,2108,
Howell,Floyd,1492,428,441,132,1,1002,1002,
East Lindale,Floyd,3398,492,1239,350,0,2081,2081,
North Carolina,Floyd,1865,283,609,154,3,1049,1049,
Riverside,Floyd,826,169,250,55,4,478,478,
Texas Valley,Floyd,762,263,229,73,4,569,569,
Vanns Valley,Floyd,896,164,222,99,3,488,488,
Watters,Floyd,3566,697,1283,326,10,2316,2316,
West Lindale,Floyd,2929,530,916,245,0,1691,1691,
