Precinct,County,Registered Voters,Danny Waits (Rep)_Election Day Votes,Danny Waits (Rep)_Advanced Voting Votes,Danny Waits (Rep)_Absentee by Mail Votes,Danny Waits (Rep)_Provisional Votes,Danny Waits (Rep)_Choice Total,Total,
Alto Park,Floyd,3360,377,1288,389,10,2064,2064,
Armuchee,Floyd,1269,296,420,121,2,839,839,
Barkers,Floyd,2355,413,991,214,6,1624,1624,
Cave Spring,Floyd,1617,456,362,168,2,988,988,
Chulio,Floyd,1155,290,359,114,10,773,773,
Etowah,Floyd,4946,641,2082,531,8,3262,3262,
Everett Springs,Floyd,421,186,74,37,3,300,300,
Floyd Springs,Floyd,1666,418,605,154,22,1199,1199,
Fosters Mill,Floyd,971,289,284,75,0,648,648,
Garden Lakes,Floyd,2261,277,739,239,6,1261,1261,
Glenwood,Floyd,3635,578,1170,346,1,2095,2095,
Howell,Floyd,1492,434,438,132,1,1005,1005,
East Lindale,Floyd,3398,493,1240,346,0,2079,2079,
North Carolina,Floyd,1865,288,609,156,3,1056,1056,
Riverside,Floyd,826,169,247,57,3,476,476,
Texas Valley,Floyd,762,262,227,72,4,565,565,
Vanns Valley,Floyd,896,162,224,100,2,488,488,
Watters,Floyd,3566,701,1281,325,10,2317,2317,
West Lindale,Floyd,2929,530,922,245,0,1697,1697,
