Precinct,County,Registered Voters,Harold Proctor (I) (Rep)_Election Day Votes,Harold Proctor (I) (Rep)_Advanced Voting Votes,Harold Proctor (I) (Rep)_Absentee by Mail Votes,Harold Proctor (I) (Rep)_Provisional Votes,Harold Proctor (I) (Rep)_Choice Total,Total,
Alto Park,Floyd,3360,386,1318,391,10,2105,2105,
Armuchee,Floyd,1269,294,431,125,1,851,851,
Barkers,Floyd,2355,420,1003,229,6,1658,1658,
Cave Spring,Floyd,1617,455,369,178,2,1004,1004,
Chulio,Floyd,1155,300,362,115,11,788,788,
Etowah,Floyd,4946,650,2122,545,8,3325,3325,
Everett Springs,Floyd,421,188,76,39,3,306,306,
Floyd Springs,Floyd,1666,431,611,163,23,1228,1228,
Fosters Mill,Floyd,971,295,291,76,0,662,662,
Garden Lakes,Floyd,2261,274,745,247,6,1272,1272,
Glenwood,Floyd,3635,584,1197,361,1,2143,2143,
Howell,Floyd,1492,437,444,138,1,1020,1020,
East Lindale,Floyd,3398,495,1267,358,2,2122,2122,
Mt Alto North,Floyd,5096,418,1612,531,9,2570,2570,
Mt Alto South,Floyd,3923,448,1199,401,5,2053,2053,
North Carolina,Floyd,1865,291,623,157,4,1075,1075,
Riverside,Floyd,826,171,252,64,4,491,491,
East Rome,Floyd,4238,384,1188,428,4,2004,2004,
North Rome,Floyd,3369,240,894,475,7,1616,1616,
South Rome,Floyd,1600,115,276,135,3,529,529,
Texas Valley,Floyd,762,271,229,72,4,576,576,
Vanns Valley,Floyd,896,167,224,102,2,495,495,
Watters,Floyd,3566,714,1300,330,10,2354,2354,
West Lindale,Floyd,2929,531,935,256,0,1722,1722,
Town Rome,Floyd,3034,264,919,346,2,1531,1531,
