Precinct,County,Registered Voters,Katie Dempsey (I) (Rep)_Election Day Votes,Katie Dempsey (I) (Rep)_Advanced Voting Votes,Katie Dempsey (I) (Rep)_Absentee by Mail Votes,Katie Dempsey (I) (Rep)_Provisional Votes,Katie Dempsey (I) (Rep)_Choice Total,Total,
Alto Park,Floyd,3360,388,1305,410,9,2112,2112,
Glenwood,Floyd,3635,573,1198,355,1,2127,2127,
East Lindale,Floyd,3398,498,1258,363,2,2121,2121,
Mt Alto North,Floyd,5096,201,639,213,8,1061,1061,
Mt Alto South,Floyd,3923,456,1195,391,5,2047,2047,
Riverside,Floyd,826,173,248,57,4,482,482,
East Rome,Floyd,4238,386,1173,417,4,1980,1980,
North Rome,Floyd,3369,229,754,421,3,1407,1407,
South Rome,Floyd,1600,115,271,131,3,520,520,
Vanns Valley,Floyd,896,167,223,100,4,494,494,
West Lindale,Floyd,2929,540,935,246,0,1721,1721,
Town Rome,Floyd,3034,241,799,309,0,1349,1349,
