Precinct,County,Registered Voters,"Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Election Day Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Advanced Voting Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Absentee by Mail Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Provisional Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Choice Total",Total,
Bentons,Monroe,2297,364,1024,237,1,1626,1626,
Brantleys,Monroe,1123,235,557,70,0,862,862,
Burgays,Monroe,2268,447,997,222,4,1670,1670,
Cabaniss,Monroe,800,204,236,46,1,487,487,
Cox,Monroe,718,163,298,50,0,511,511,
Culloden,Monroe,454,140,92,44,1,277,277,
Dillards,Monroe,996,169,408,56,0,633,633,
Evers,Monroe,2127,310,983,165,0,1458,1458,
Forsyth,Monroe,4640,342,1568,450,0,2360,2360,
High Falls,Monroe,1994,364,650,143,1,1158,1158,
Kelseys,Monroe,722,143,214,70,0,427,427,
Middlebrooks,Monroe,1319,227,588,88,0,903,903,
Proctors,Monroe,1214,256,360,74,0,690,690,
Russellville,Monroe,466,148,137,25,0,310,310,
