Precinct,County,Registered Voters,Rebecca Liles Grist (I) (Dem)_Election Day Votes,Rebecca Liles Grist (I) (Dem)_Advanced Voting Votes,Rebecca Liles Grist (I) (Dem)_Absentee by Mail Votes,Rebecca Liles Grist (I) (Dem)_Provisional Votes,Rebecca Liles Grist (I) (Dem)_Choice Total,Total,
East Macon 1,Bibb,2108,238,362,319,6,925,925,
East Macon 2,Bibb,3932,455,993,740,7,2195,2195,
East Macon 3,Bibb,3494,363,855,583,7,1808,1808,
East Macon 4,Bibb,2280,352,498,453,6,1309,1309,
East Macon 5,Bibb,2552,308,633,486,2,1429,1429,
Godfrey 1,Bibb,6283,600,1479,977,5,3061,3061,
Godfrey 2,Bibb,2158,219,341,258,1,819,819,
Godfrey 3,Bibb,3292,393,720,451,6,1570,1570,
Godfrey 4,Bibb,2231,256,344,263,1,864,864,
Godfrey 5,Bibb,4761,655,1122,641,4,2422,2422,
Hazzard 1,Bibb,3377,465,764,511,3,1743,1743,
Hazzard 2,Bibb,4173,675,1065,494,5,2239,2239,
Hazzard 3,Bibb,7068,686,1988,1103,12,3789,3789,
Hazzard 4,Bibb,4745,598,1382,750,4,2734,2734,
Howard 1,Bibb,3436,376,1008,641,3,2028,2028,
Howard 2,Bibb,3394,388,958,564,4,1914,1914,
Howard 3,Bibb,6397,718,1851,981,4,3554,3554,
Howard 4,Bibb,1711,200,491,253,1,945,945,
Howard 5,Bibb,2272,346,592,239,4,1181,1181,
Howard 6,Bibb,2213,266,662,316,8,1252,1252,
Howard 7,Bibb,2897,380,818,479,3,1680,1680,
Rutland 1,Bibb,5704,780,1499,740,4,3023,3023,
Rutland 2,Bibb,3409,541,735,369,5,1650,1650,
Vineville 1,Bibb,3572,374,867,561,3,1805,1805,
Vineville 2,Bibb,2067,255,428,362,0,1045,1045,
Vineville 3,Bibb,3127,332,756,527,4,1619,1619,
Vineville 4,Bibb,4097,543,951,625,9,2128,2128,
Vineville 5,Bibb,2359,277,668,357,2,1304,1304,
Vineville 6,Bibb,3021,389,764,510,5,1668,1668,
Warrior 1,Bibb,2617,466,535,320,2,1323,1323,
Warrior 2,Bibb,3232,395,840,387,3,1625,1625,
