Precinct,County,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
Branchville,Mitchell,599,173,200,33,0,406,406,
Cotton,Mitchell,399,188,72,36,0,296,296,
Hopeful,Mitchell,350,99,95,26,2,222,222,
Hinsonton,Mitchell,134,78,20,7,0,105,105,
Lester,Mitchell,1357,286,339,141,0,766,766,
Pebble City,Mitchell,162,68,29,16,0,113,113,
Pelham,Mitchell,3489,342,819,322,0,1483,1483,
Sale City,Mitchell,384,145,55,32,0,232,232,
