Precinct,County,Registered Voters,W. E. Bozeman (I) (Dem)_Election Day Votes,W. E. Bozeman (I) (Dem)_Advanced Voting Votes,W. E. Bozeman (I) (Dem)_Absentee by Mail Votes,W. E. Bozeman (I) (Dem)_Provisional Votes,W. E. Bozeman (I) (Dem)_Choice Total,Total,
Baconton,Mitchell,1129,216,267,128,0,611,611,
Branchville,Mitchell,599,149,188,53,0,390,390,
Camilla North,Mitchell,1996,223,546,379,0,1148,1148,
Camilla South,Mitchell,3475,259,1308,578,3,2148,2148,
Cotton,Mitchell,399,177,72,39,0,288,288,
Hopeful,Mitchell,350,95,91,34,2,222,222,
Hinsonton,Mitchell,134,74,19,11,0,104,104,
Lester,Mitchell,1357,245,296,158,1,700,700,
Pebble City,Mitchell,162,66,30,14,0,110,110,
Pelham,Mitchell,3489,423,954,534,1,1912,1912,
Sale City,Mitchell,384,146,66,36,0,248,248,
