Precinct,County,Registered Voters,Janet Addison Mauldin (I) (Rep)_Election Day Votes,Janet Addison Mauldin (I) (Rep)_Advanced Voting Votes,Janet Addison Mauldin (I) (Rep)_Absentee by Mail Votes,Janet Addison Mauldin (I) (Rep)_Provisional Votes,Janet Addison Mauldin (I) (Rep)_Choice Total,Total,
Rochelle North 1,Wilcox,558,75,89,30,0,194,194,
Abbeville North 2,Wilcox,441,45,229,40,0,314,314,
Pineview 2,Wilcox,630,163,132,50,0,345,345,
Pitts 3,Wilcox,876,262,248,80,0,590,590,
Rochelle South 4,Wilcox,1033,185,386,116,0,687,687,
Abbeville South 5,Wilcox,1123,126,375,114,0,615,615,
