Precinct,County,Registered Voters,B. Shawn Rhodes (I) (Dem)_Election Day Votes,B. Shawn Rhodes (I) (Dem)_Advanced Voting Votes,B. Shawn Rhodes (I) (Dem)_Absentee by Mail Votes,B. Shawn Rhodes (I) (Dem)_Provisional Votes,B. Shawn Rhodes (I) (Dem)_Choice Total,Total,
Rochelle North 1,Wilcox,558,113,133,49,0,295,295,
Abbeville North 2,Wilcox,441,49,236,53,0,338,338,
Pineview 2,Wilcox,630,192,141,67,0,400,400,
Pitts 3,Wilcox,876,255,229,76,0,560,560,
Rochelle South 4,Wilcox,1033,183,353,110,0,646,646,
Abbeville South 5,Wilcox,1123,122,364,121,0,607,607,
