Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
City Pond,Newton,1833,263,209,261,0,733,80,98,70,0,248,981,
Town,Newton,4378,507,601,688,0,1796,196,220,198,0,614,2410,
Almon,Newton,5009,587,1158,883,1,2629,192,320,201,1,714,3343,
Alcovy,Newton,4620,638,1084,811,3,2536,232,318,155,0,705,3241,
Covington Mills,Newton,3111,449,583,481,0,1513,176,164,104,0,444,1957,
Brewers,Newton,3538,946,500,409,4,1859,311,157,86,0,554,2413,
Brick Store,Newton,2623,701,480,399,0,1580,183,126,62,0,371,1951,
Cedar Shoals,Newton,2838,483,452,367,1,1303,135,115,103,0,353,1656,
Livingston,Newton,4593,540,909,685,4,2138,208,301,194,0,703,2841,
Downs,Newton,6215,869,1399,900,1,3169,342,463,222,0,1027,4196,
Gum Creek,Newton,4135,814,901,724,1,2440,247,249,128,0,624,3064,
Beaverdam,Newton,5428,594,1220,838,2,2654,184,397,208,0,789,3443,
Leguinn,Newton,2177,626,301,288,2,1217,195,86,68,1,350,1567,
Mansfield,Newton,1524,612,136,155,0,903,183,51,33,0,267,1170,
Newborn,Newton,784,326,58,73,0,457,108,10,15,0,133,590,
Oxford,Newton,2418,510,419,422,1,1352,164,105,103,0,372,1724,
Rocky Plains,Newton,3658,651,685,451,2,1789,182,230,113,0,525,2314,
Buck Creek,Newton,4839,706,910,742,1,2359,207,311,210,1,729,3088,
Stansells,Newton,4969,532,1082,742,0,2356,193,308,198,0,699,3055,
Fairview,Newton,2953,329,568,434,1,1332,124,178,99,1,402,1734,
Crowell,Newton,4977,498,1107,742,2,2349,163,335,179,0,677,3026,
Hub,Newton,2374,711,414,346,0,1471,212,110,54,1,377,1848,
