Precinct,County,Registered Voters,Sharon Henderson (Dem)_Election Day Votes,Sharon Henderson (Dem)_Advanced Voting Votes,Sharon Henderson (Dem)_Absentee by Mail Votes,Sharon Henderson (Dem)_Provisional Votes,Sharon Henderson (Dem)_Choice Total,Total,
Town,Newton,4378,639,696,811,1,2147,2147,
Almon,Newton,5009,665,1354,994,2,3015,3015,
Covington Mills,Newton,3111,142,162,98,0,402,402,
Cedar Shoals,Newton,2838,458,452,410,1,1321,1321,
Livingston,Newton,4593,284,511,392,1,1188,1188,
Beaverdam,Newton,5428,697,1488,961,2,3148,3148,
Buck Creek,Newton,4839,681,926,815,2,2424,2424,
Stansells,Newton,4969,623,1245,872,0,2740,2740,
Fairview,Newton,2953,433,712,520,2,1667,1667,
Crowell,Newton,4977,610,1372,891,2,2875,2875,
