Precinct,County,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
Beaverdam,Oglethorpe,3509,524,1205,410,0,2139,2139,
Crawford,Oglethorpe,3044,338,1085,311,0,1734,1734,
Lexington,Oglethorpe,4291,388,1714,498,2,2602,2602,
