Precinct,County,Registered Voters,Ben Devane (I) (Dem)_Election Day Votes,Ben Devane (I) (Dem)_Advanced Voting Votes,Ben Devane (I) (Dem)_Absentee by Mail Votes,Ben Devane (I) (Dem)_Provisional Votes,Ben Devane (I) (Dem)_Choice Total,Total,
Quitman,Brooks,4117,335,1021,575,3,1934,1934,
Barwick,Brooks,350,78,60,44,1,183,183,
Dixie,Brooks,1066,151,265,186,1,603,603,
Briggs,Brooks,2317,318,519,194,0,1031,1031,
Nankin,Brooks,735,125,185,50,0,360,360,
Morven,Brooks,1962,296,479,224,0,999,999,
Pavo,Brooks,607,144,108,64,0,316,316,
